pm25Grade1h,pm10Value24,so2Value,pm10Grade1h,pm10Value,o3Grade,pm25Flag,khaiGrade,pm25Value,no2Flag,mangName,stationName,no2Value,so2Grade,stationCode,coFlag,khaiValue,coValue,pm10Flag,sidoName,pm25Value24,no2Grade,o3Flag,pm25Grade,so2Flag,coGrade,dataTime,pm10Grade,o3Value
2.0,30,0.003,2.0,37,1.0,,2.0,23,,도시대기,송파구,0.009,1.0,111273,,59,0.3,,서울,19,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.023
2.0,25,0.003,1.0,29,1.0,,2.0,26,,도시대기,강동구,0.007,1.0,111274,,64,0.4,,서울,21,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.026
2.0,25,0.002,1.0,30,1.0,,1.0,19,,도로변대기,천호대로,0.01,1.0,111275,,43,0.3,,서울,13,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.024
1.0,22,0.002,1.0,21,1.0,,1.0,15,,도시대기,금천구,0.008,1.0,111281,,43,0.4,,서울,13,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.023
1.0,25,0.003,1.0,21,1.0,,1.0,9,,도로변대기,시흥대로,0.007,1.0,111282,,42,0.3,,서울,9,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.025
1.0,26,0.003,1.0,23,1.0,,1.0,10,,도시대기,강북구,0.01,1.0,111291,,47,0.2,,서울,14,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.021
1.0,25,0.002,1.0,22,1.0,,1.0,9,,도시대기,양천구,0.006,1.0,111301,,47,0.2,,서울,12,1.0,,1.0,,1.0,2025-07-07 01:00,1.0,0.028
1.0,27,0.002,1.0,24,1.0,,2.0,15,,도시대기,노원구,0.011,1.0,111311,,54,0.3,,서울,17,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.022
1.0,27,0.003,1.0,21,1.0,,2.0,12,,도로변대기,화랑로,0.014,1.0,111312,,54,0.3,,서울,17,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.024
2.0,23.0,0.004,1.0,17.0,1.0,,2.0,17,,도시대기,광복동,0.022,1.0,221112,,51,0.3,,부산,16,1.0,,2.0,,1.0,2025-07-07 01:00,1.0,0.013
